Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1373.286,774234,60.49,9593,950.37
astar,true,2601.928,1251610,97.78,9593,644.66
bfs,true,1144.325,1258392,98.31,9593,737.85
dfs,true,558.272,744267,58.15,9593,876.25
wallFollower,true,631.403,1079254,84.32,9593,795.07
dijkstra,false,1811.636,774569,59.11,11899,1003.12
astar,false,4409.698,1286524,98.18,7570,982.55
bfs,false,1303.188,1293230,98.69,7570,1381.82
dfs,false,453.489,560908,42.81,16620,712.35
wallFollower,false,998.399,1564803,119.42,100679,1060.65
