Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1414.688,548563,52.18,8842,824.77
astar,true,2908.528,1027808,97.77,8842,642.53
bfs,true,1288.083,1035407,98.49,8842,783.55
dfs,true,459.349,384871,36.61,8842,366.96
wallFollower,true,1262.214,1341050,127.57,8842,756.48
dijkstra,false,1569.656,564188,52.42,11985,510.72
astar,false,3352.164,1048193,97.39,6563,728.01
bfs,false,1332.935,1056730,98.19,6563,699.88
dfs,false,622.454,510862,47.47,14473,694.47
wallFollower,false,966.102,1004110,93.30,81275,853.05
