Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,8.106,7423,65.99,741,1759218604447.90
astar,true,11.913,10550,93.79,741,4.92
bfs,true,4.700,10038,89.23,741,6.32
dfs,true,4.532,7003,62.26,741,1759218604444.99
wallFollower,true,3.582,9218,81.95,741,1759218604445.96
dijkstra,false,10.208,6804,59.10,886,1759218604447.41
astar,false,14.546,10722,93.14,563,1759218604445.46
bfs,false,5.959,10282,89.31,563,7.17
dfs,false,2.796,5909,51.32,1022,4.40
wallFollower,false,5.039,10071,87.48,1458,1759218604447.00
