Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,4333.557,2346532,44.43,20389,2621.59
astar,true,8611.107,5203444,98.53,20389,1557.24
bfs,true,3546.506,5184271,98.16,20389,4368.33
dfs,true,1247.828,2438691,46.18,20389,2022.78
wallFollower,true,2136.191,5701977,107.97,20389,3439.32
dijkstra,false,8731.350,4110320,76.02,27583,4520.02
astar,false,14997.377,5343804,98.84,16558,3146.57
bfs,false,4128.525,5329186,98.57,16558,4456.71
dfs,false,1310.822,2394319,44.28,39357,1937.83
wallFollower,false,2537.534,5740921,106.18,413549,3834.33
