Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,3840.641,2365032,47.67,19827,2769.92
astar,true,8107.544,4884792,98.46,19827,1702.50
bfs,true,3265.027,4868686,98.13,19827,3712.28
dfs,true,776.167,1586423,31.98,19827,1574.06
wallFollower,true,2546.765,6767779,136.41,19827,3666.99
dijkstra,false,6604.357,3054458,60.14,26682,3597.82
astar,false,14082.252,5028678,99.01,16501,3048.93
bfs,false,3411.122,5020310,98.84,16501,3966.58
dfs,false,1450.721,2783458,54.80,43130,2312.43
wallFollower,false,2168.521,5104275,100.49,392719,3384.43
