Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,5756.46,5997147,97.91,22113,2440.36
astar,true,5492.41,6019636,98.28,22113,2251.91
bfs,true,4141.01,5997149,97.91,22113,1902.94
dfs,true,2005.72,3471030,56.67,22113,1473.08
wallFollower,true,2277.46,5328827,87.00,22113,1730.94
dijkstra,false,6530.73,6186420,98.66,17433,1440.07
astar,false,5799.27,6232128,99.39,17433,1366.21
bfs,false,4225.15,6186421,98.66,17433,980.18
dfs,false,1761.01,2904885,46.32,49564,883.55
wallFollower,false,2860.39,6445866,102.79,483206,1755.53
