Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,234.31,273121,97.11,4027,74.82
astar,true,279.30,275946,98.11,4027,57.29
bfs,true,228.27,273125,97.11,4027,67.38
dfs,true,110.17,153473,54.57,4027,52.20
wallFollower,true,130.98,259262,92.18,4027,72.11
dijkstra,false,279.23,281958,97.94,3305,90.97
astar,false,320.49,284979,98.99,3305,81.36
bfs,false,243.45,281959,97.94,3305,93.83
dfs,false,125.89,145909,50.68,6758,52.66
wallFollower,false,172.27,267017,92.75,24488,53.59
