Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,194.08,239488,97.75,3839,86.99
astar,true,244.46,241048,98.39,3839,85.79
bfs,true,190.89,239491,97.75,3839,82.91
dfs,true,87.24,122398,49.96,3839,40.01
wallFollower,true,135.10,248624,101.48,3839,64.99
dijkstra,false,214.81,245556,97.91,3017,66.30
astar,false,240.11,248462,99.06,3017,68.39
bfs,false,187.32,245555,97.91,3017,58.07
dfs,false,86.08,130177,51.90,7011,72.68
wallFollower,false,125.01,230366,91.85,19713,75.76
